time,temp,feels_like,pressure
2022-03-04 09:00:00,-2.4700000000000277,-6.480000000000018,1016
2022-03-04 10:00:00,-0.9499999999999886,-5.449999999999989,1017
2022-03-04 11:00:00,-0.410000000000025,-4.7900000000000205,1017
2022-03-04 12:00:00,0.3299999999999841,-4.199999999999989,1016
2022-03-04 13:00:00,1.1000000000000227,-3.240000000000009,1024
2022-03-04 14:00:00,1.2200000000000273,-2.430000000000007,1024
2022-03-04 15:00:00,0.9499999999999886,-2.3600000000000136,1024
2022-03-04 16:00:00,-2.670000000000016,-5.589999999999975,1006
2022-03-04 17:00:00,-4.339999999999975,-6.730000000000018,1005
2022-03-04 18:00:00,-4.670000000000016,-4.670000000000016,1025
2022-03-04 19:00:00,-5.529999999999973,-8.089999999999975,1026
2022-03-04 20:00:00,-6.319999999999993,-6.319999999999993,1026
2022-03-04 21:00:00,-6.5400000000000205,-9.240000000000007,1025
2022-03-04 22:00:00,-7.079999999999984,-9.449999999999989,1025
2022-03-04 23:00:00,-7.5,-9.930000000000009,1025
2022-03-05 00:00:00,-8.149999999999977,-12.839999999999977,1025
2022-03-05 01:00:00,-8.779999999999973,-11.370000000000005,1025
2022-03-05 02:00:00,-9.279999999999973,-11.939999999999998,1024
2022-03-05 03:00:00,-9.70999999999998,-12.430000000000009,1024
2022-03-05 04:00:00,-10.069999999999991,-14.509999999999993,1024
2022-03-05 05:00:00,-10.490000000000007,-10.490000000000007,1024
2022-03-05 06:00:00,-8.279999999999973,-8.279999999999973,1024
2022-03-05 07:00:00,-5.399999999999977,-5.399999999999977,1024
2022-03-05 08:00:00,-3.2799999999999727,-3.2799999999999727,1024
2022-03-05 09:00:00,-1.2300000000000182,-4.490000000000009,1023
2022-03-05 10:00:00,-0.4200000000000159,-4.430000000000007,1016
2022-03-05 11:00:00,1.0500000000000114,-2.240000000000009,1022
2022-03-05 12:00:00,1.4300000000000068,-2.740000000000009,1021
2022-03-05 13:00:00,1.5199999999999818,-3.269999999999982,1020
2022-03-05 14:00:00,1.3799999999999957,-3.4399999999999977,1020
2022-03-05 15:00:00,0.7699999999999818,-4.689999999999998,1019
2022-03-05 16:00:00,-0.5699999999999932,-5.6200000000000045,1018
2022-03-05 17:00:00,-1.3899999999999864,-6.339999999999975,1017
2022-03-05 18:00:00,-1.8100000000000025,-6.509999999999991,1017
2022-03-05 19:00:00,-2.6399999999999864,-7.889999999999986,1008
2022-03-05 20:00:00,-2.7099999999999795,-8.300000000000011,1016
2022-03-05 21:00:00,-2.8600000000000136,-6.5400000000000205,1015
2022-03-05 22:00:00,-3.3500000000000227,-7.0,1014
2022-03-05 23:00:00,-3.75,-8.019999999999982,1014
2022-03-06 00:00:00,-3.9499999999999886,-8.730000000000018,1013
2022-03-06 01:00:00,-4.180000000000007,-7.990000000000009,1004
2022-03-06 02:00:00,-4.379999999999996,-10.399999999999975,1004
2022-03-06 03:00:00,-4.360000000000014,-9.649999999999975,1004
2022-03-06 04:00:00,-4.129999999999996,-9.370000000000005,1004
2022-03-06 05:00:00,-3.579999999999984,-9.060000000000002,1003
2022-03-06 06:00:00,-3.6000000000000227,-9.089999999999977,1003
2022-03-06 07:00:00,-3.069999999999993,-8.069999999999993,1001
2022-03-06 08:00:00,-0.8100000000000023,-5.279999999999973,1003
2022-03-06 09:00:00,0.4700000000000273,-3.339999999999975,1003
2022-03-06 10:00:00,1.4399999999999975,-3.3700000000000045,1003
2022-03-06 11:00:00,2.2099999999999795,-1.8600000000000136,1003
2022-03-06 12:00:00,3.050000000000012,-1.329999999999984,1002
2022-03-06 13:00:00,3.3799999999999955,-0.920000000000016,1010
2022-03-06 14:00:00,3.319999999999993,-1.2200000000000273,1010
2022-03-06 15:00:00,2.9399999999999977,-1.6999999999999886,1010
2022-03-06 16:00:00,1.9300000000000068,-3.2099999999999795,1009
2022-03-06 17:00:00,1.0699999999999932,-3.569999999999993,1009
